source,path,bytes,disposition
v5.5.0,playbook/06_COMPONENT_STATE_ENGINE.md,1906,copied_to_deep_library_and_synthesized
v5.5.0,playbook/07_MOTION_ENGINE.md,1582,copied_to_deep_library_and_synthesized
v5.5.0,playbook/08_REFINEMENT_ENGINE.md,1757,copied_to_deep_library_and_synthesized
v5.5.0,playbook/09_CRITIQUE_LOOP.md,2269,copied_to_deep_library_and_synthesized
v5.5.0,playbook/10_COMPONENT_FOUNDATION_CHOOSER.md,955,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/11_REFERENCE_TRIANGULATION.md,672,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/12_PATTERN_SELECTION_BY_TASK.md,2207,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/13_PRODUCT_VS_MARKETING_MODE.md,1729,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/14_REFERENCE_OBSERVATION_PROTOCOL.md,1521,copied_to_deep_library_and_synthesized
v5.5.0,playbook/15_DESIGN_DIRECTION_DECISION_MATRIX.md,505,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/16_REFERENCE_TO_TOKENS.md,1721,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/17_INTERFACE_ARCHETYPE_ATLAS.md,2609,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/18_REFERENCE_PACK_WORKFLOW.md,979,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/19_LOW_MODEL_DECISION_TREE.md,735,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/20_DIFFERENTIATION_WITHOUT_GIMMICKS.md,1025,copied_to_deep_library_and_synthesized
v5.5.0,playbook/21_CJK_TYPE_DECISION_TREE.md,942,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/22_REDESIGN_TRIAGE.md,1895,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/23_CONTENT_RESILIENCE_AND_VOCABULARY.md,2786,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/24_FOCUSED_PASS_ROUTER.md,3131,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/25_EXCELLENCE_LADDER.md,2205,copied_to_deep_library_and_synthesized
v5.5.0,playbook/26_FLATNESS_TO_CONVICTION.md,2606,copied_to_deep_library_and_synthesized
v5.5.0,playbook/27_FUNCTIONAL_FOCAL_MECHANISM.md,2201,copied_to_deep_library_and_synthesized
v5.5.0,playbook/28_COMPOSITION_CONTRAST_BUDGET.md,1823,copied_to_deep_library_and_synthesized
v5.5.0,playbook/29_RENDERED_CRITIQUE_LENSES.md,1487,copied_to_deep_library_and_synthesized
v5.5.0,playbook/30_PRODUCT_CRAFT_ACCEPTANCE_BAR.md,2030,copied_to_deep_library_and_synthesized
v5.5.0,playbook/31_RECTANGLE_DISCIPLINE.md,2893,copied_to_deep_library_and_synthesized
v5.5.0,playbook/32_TYPOGRAPHY_AS_CHARACTER.md,2751,copied_to_deep_library_and_synthesized
v5.5.0,playbook/33_ONE_BOLD_MOVE.md,1648,copied_to_deep_library_and_synthesized
v5.5.0,playbook/34_READ_APPLY_VERIFY_LOOP.md,2562,copied_to_deep_library_and_synthesized
v5.5.0,prompts/DESIGN_LEAD_PROMPT.md,3086,read_and_synthesized; archived_in_original_zip
v5.5.0,prompts/INDEPENDENT_REVIEW_PROMPT.md,2415,read_and_synthesized; archived_in_original_zip
v5.5.0,prompts/LOCAL_IMPLEMENTATION_PROMPT.md,4006,read_and_synthesized; archived_in_original_zip
v5.5.0,prompts/LOW_CAPABILITY_CONSTRUCTION_PROMPT.md,741,read_and_synthesized; archived_in_original_zip
v5.5.0,prompts/STANDALONE_FALLBACK_PROMPT.md,615,read_and_synthesized; archived_in_original_zip
v5.5.0,research/CORPUS_SUMMARY.json,551,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,research/DEEP_AUDIT_CARDS.md,41573,parsed_and_integrated_into_reference_layer
v5.5.0,research/FINDINGS_FROM_353_REFERENCES.md,4438,read_and_synthesized; archived_in_original_zip
v5.5.0,research/GALLERY_UNIVERSE.md,1057,read_and_synthesized; archived_in_original_zip
v5.5.0,research/GITHUB_INCREMENTAL_REVIEW_2026-09-02.md,3311,read_and_synthesized; archived_in_original_zip
v5.5.0,research/LIMITATIONS.md,626,read_and_synthesized; archived_in_original_zip
v5.5.0,research/METHODOLOGY_AND_LIMITATIONS.md,947,copied_to_deep_library_and_synthesized
v5.5.0,research/POSITIVE_EXCELLENCE_RESEARCH_2026-09-02.md,4209,copied_to_deep_library_and_synthesized
v5.5.0,research/REFERENCE_CATALOG_ARCHIVE.csv,152661,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,research/REFERENCE_CATALOG_ARCHIVE.json,270953,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,research/REFERENCE_CORPUS.csv,193594,parsed_and_integrated_into_reference_layer
v5.5.0,research/REFERENCE_CORPUS.json,339132,parsed_and_integrated_into_reference_layer
v5.5.0,research/REFERENCE_CORPUS_CORE.csv,36469,parsed_and_integrated_into_reference_layer
v5.5.0,research/REFERENCE_CORPUS_CORE.json,60166,parsed_and_integrated_into_reference_layer
v5.5.0,research/REFERENCE_CORPUS_EXPRESSION.csv,4948,parsed_and_integrated_into_reference_layer
v5.5.0,research/REFERENCE_CORPUS_EXPRESSION.json,8019,parsed_and_integrated_into_reference_layer
v5.5.0,research/RESEARCH_SYNTHESIS.md,873,read_and_synthesized; archived_in_original_zip
v5.5.0,research/SOURCE_REGISTER.md,2559,read_and_synthesized; archived_in_original_zip
v5.5.0,skill/SKILL.md,5668,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/CLOUD_TO_LOCAL_HANDOFF.template.md,2022,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/DESIGN_BRIEF.template.md,653,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/DESIGN_DECISION_LOG.template.md,279,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/DESIGN_DIRECTION.template.md,406,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/DESIGN_SPEC.template.json,4676,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,templates/EXCELLENCE_NOTE.template.md,1095,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/IMPLEMENTATION_RECEIPT.template.md,919,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/INDEPENDENT_REVIEW.template.md,925,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/REDESIGN_AUDIT.template.md,571,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/REFERENCE_TRIAD.template.md,793,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/TARGETED_DESIGN_NOTE.template.md,1141,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/TYPOGRAPHY_TRIAL.template.md,533,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/USAGE_FEEDBACK.template.md,872,read_and_synthesized; archived_in_original_zip
v5.5.0,templates/WEBSITE_OBSERVATION_CARD.template.md,543,read_and_synthesized; archived_in_original_zip
v5.5.0,tests/JIUAN_REFERENCE_PACK_REGRESSION.json,10225,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tests/JIUAN_REFERENCE_PACK_REGRESSION.md,2880,read_and_synthesized; archived_in_original_zip
v5.5.0,tests/TEST_RESULTS.txt,6904,read_and_synthesized; archived_in_original_zip
v5.5.0,tests/fixtures/bad_spec.json,6936,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tests/fixtures/good_spec.json,7508,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tests/fixtures/static_bad/page.html,347,read_and_synthesized; archived_in_original_zip
v5.5.0,tests/fixtures/static_clean/page.html,243,read_and_synthesized; archived_in_original_zip
v5.5.0,tests/test_tools.py,1034,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tests/test_v53.py,1627,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tests/test_v54.py,10706,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tests/test_v541.py,6839,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tests/test_v55.py,13769,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/DESIGN_SPEC.schema.json,21983,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/DESIGN_SPEC.v5.3.schema.json,17215,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/README.md,3345,read_and_synthesized; archived_in_original_zip
v5.5.0,tools/REFERENCE_CAPABILITIES.json,12781,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/RISK_REGISTRY.json,17045,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/compile_implementation_brief.py,10949,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/corpus_query.py,2014,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/design_spec_diff.py,4672,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/design_spec_lint.py,14640,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/excellence_lint.py,10641,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/fingerprint_compare.py,2699,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/implementation_receipt_lint.py,9727,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/migrate_v53_spec.py,5375,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/reference_balance_lint.py,8694,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/reference_pack.py,19557,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/rendered_surface_audit.js,6033,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/requirements.txt,20,read_and_synthesized; archived_in_original_zip
v5.5.0,tools/start_task.py,4133,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/static_ai_tell_scan.py,14833,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/studio_doctor.py,8805,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,tools/validate_corpus.py,6628,read_for_mechanism_or_validation; archived_in_original_zip
v2.3,README_包说明.md,5266,copied_to_deep_library_and_synthesized
v2.3,五轴抽签法_视觉身份预设卡库_v1.2.md,10525,copied_to_deep_library_and_synthesized
v2.3,反AI前端_勘误与修订说明v2.3.html,32191,copied_to_deep_library_and_synthesized
v2.3,反AI前端_增补附录A_AI味特征库60条.html,38444,copied_to_deep_library_and_synthesized
v2.3,反AI前端_增补附录B_可判定约束与冲突裁决表.html,31056,copied_to_deep_library_and_synthesized
v2.3,反AI前端_失效诊断与替代方案_终版报告.html,62922,copied_to_deep_library_and_synthesized
v2.3,反AI前端工作包_教训档案_实战首案.md,8821,copied_to_deep_library_and_synthesized
v2.3,实战案例/实战演示_企业所得税测算底稿_v1反面教材.html,13215,copied_to_deep_library_and_synthesized
v2.3,实战案例/实战演示_企业所得税测算底稿_v2.html,12388,copied_to_deep_library_and_synthesized
v2.3,实战案例/实战演示_卡4_Stripe叙事_工作包诞生记_v1反面教材.html,11791,copied_to_deep_library_and_synthesized
v2.3,实战案例/实战演示_卡4_Stripe叙事_工作包诞生记_v3.html,12983,copied_to_deep_library_and_synthesized
v2.3,实战案例/宪法v2实战执行日志.md,17231,copied_to_deep_library_and_synthesized
v2.3,示范_AI味显影对照.html,9323,copied_to_deep_library_and_synthesized
v2.3,设计宪法v2.3_可直接粘贴给ChatGPT.md,5331,copied_to_deep_library_and_synthesized
